R	P	Collection Time	Source Url	Url	Column 6	Column 7	Column 8	Column 9
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/cert-campus	Chemical and Biomolecular Engineering	Z055	Engineering - Professional	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/cert-campus	Civil and Environmental Engineering	Z056	Engineering - Professional	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/cert-campus	Electrical and Computer Engineering	Z057	Engineering - Professional	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/cert-campus	Environmental Engineering	Z058	Engineering - Professional	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/education/z069	Applied Counseling and Human Services	Z069	Education	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/cert-campus	Cybersecurity	Z073	Engineering - Professional	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/behavioralsocial-sciences/z074	Economic Analysis (Off-Campus)	Z074	Behavioral and Social Sciences	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/artshumanities/interpreting-translation	Consecutive Interpretation	Z080	Arts and Humanities	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/cert-online	Bioengineering (online)	Z083	Engineering - Professional	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/computermathematicalnatural-sciences/z088	Beekeeping (online)	Z088	Computer/Mathematical and Natural Sciences	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/cert-online	Cybersecurity (online)	Z092	Engineering - Professional	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/information-studies/z093	Curation and Management of Digital Assets	Z093	Information Studies	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/behavioralsocial-sciences/z096	African-American Studies	Z096	Behavioral and Social Sciences	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/behavioralsocial-sciences/z098	Economic Analysis (On-Campus)	Z098	Behavioral and Social Sciences	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/computermathematicalnatural-sciences/z104	Data Science	Z104	Computer/Mathematical and Natural Sciences	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/cert-campus	Energy Systems Management and Policy	Z107	Engineering - Professional	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/artshumanities/z110	Digital Studies in Arts and Humanities	Z110	Arts and Humanities	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/cert-campus	Electronic Packaging (online)	Z111	Engineering - Professional	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/cert-online	Electronic Packaging	Z112	Engineering - Professional	Certificate
		7/7/2018 2:04:07 PM	https://gradschool.umd.edu/admissions/programs-a-to-z	https://gradschool.umd.edu/engineering/cert-campus	Additive Manufacturing	Z115	Engineering - Professional	Certificate
